"square_footage","bedrooms","bathrooms","year_built","lot_size","neighborhood","school_district_rating","crime_rate","proximity_to_amenities","economic_indicator","price"
2028,3,2,1977,6200,"St-Louis",7.6,8.8,1.9,88.8,594999
1515,3,1,1998,2132,"Touba",5.6,5.6,6.7,117.3,614941
1243,3,3,2006,7008,"Ziguinchor",7.9,6.5,2.6,85.6,592490
2253,4,2,1991,7429,"Ziguinchor",8.8,8,2.7,128,674073
1964,3,3,2002,5618,"Kaolack",9,8.5,8,74.7,806665
2339,4,2,1961,7413,"Dakar",9.5,1.8,5.6,118.6,973475
1770,2,2,1988,6852,"St-Louis",7.9,2.6,2.7,114.5,689079
1678,4,2,1951,7611,"Ziguinchor",8.7,1.6,5.9,144.7,756171
2921,2,2,1974,4655,"Touba",5,8.4,1.8,78.3,752356
782,3,2,2013,3146,"Touba",2.9,1.2,3.2,95.2,469238
1995,3,2,1989,5279,"Kaolack",8.6,4.5,9.6,115.3,861370
1992,4,2,1958,4971,"Kaolack",6,6.8,3.7,141.6,723398
2019,2,2,1955,8093,"Kaolack",7.3,5.5,4.3,123.4,707704
2079,3,3,2001,7753,"St-Louis",5.8,5.3,3.4,110.9,608163
1662,5,2,1971,7174,"Podor",8.2,4.1,6.2,91.2,746588
2383,3,2,1958,2065,"Ziguinchor",7.9,4.3,3.9,108.6,820704
573,5,2,1996,4804,"Touba",5.3,1.8,1.6,105.7,474741
1397,2,2,2013,6306,"Dakar",6.7,5.2,9.1,100.9,736444
1740,3,2,2002,4035,"Touba",7.5,5.2,9.3,79.7,641627
1882,3,2,2011,5308,"Podor",8.2,8.6,8.8,129.1,621372
2003,3,2,2000,4534,"Podor",6.2,5.6,6.8,90.6,740601
2120,2,2,1997,6458,"Thies",8.1,8.1,5.7,108.1,765058
1046,2,2,1991,6005,"Touba",7.7,6.2,2.3,94.5,366723
1804,3,2,1968,3529,"Thies",3,2.3,7.7,94.5,621554
2062,3,2,1980,4779,"Touba",4.8,8.3,2.5,82.8,662255
2463,3,3,2000,4091,"Thies",5.3,7,7.8,113.2,831992
1743,5,3,1955,7208,"Ziguinchor",6.7,7.3,1.2,106.3,771980
2600,2,2,1962,7112,"Podor",9.9,8.4,5.2,97.9,820745
1659,2,2,1997,5111,"Thies",5.9,9.7,8.9,98.1,697855
1775,1,2,1960,6390,"Tambacounda",6.2,2.6,9,106.2,623335
1880,4,2,1997,1243,"Podor",5.7,7.9,4.9,96.4,696379
1549,5,2,1986,6704,"Tambacounda",5.6,5.6,9.5,84.6,688729
2158,4,3,1996,6462,"Dakar",5.8,1.6,6.5,104.8,893935
1127,5,3,1986,2445,"Podor",6,9.7,3.1,122.6,496821
1797,3,2,1959,7834,"Podor",5.6,2.5,8.8,118.6,738797
1530,2,3,1998,5332,"St-Louis",4.9,6.3,9.7,118.7,611129
1526,4,2,1980,3167,"Podor",7.9,4.5,7.6,114,707380
2376,3,2,2005,8936,"Ziguinchor",8,5.7,8,101.7,650629
2326,3,2,1959,5114,"Kaolack",6.1,9.7,5.9,157.3,762338
2599,2,3,1961,8216,"Kaolack",7.2,9.9,4.8,90.9,816698
1668,2,2,1966,5417,"Thies",8.6,3.4,6.5,106.7,725698
1816,4,1,1977,4584,"St-Louis",6.8,2.2,9.9,146.2,697685
1024,1,3,1996,5685,"Tambacounda",7.2,9.9,6,75.9,585816
1606,3,3,1975,7800,"Kaolack",5.8,7.1,0.6,80.7,652376
2682,3,3,1953,5379,"Ziguinchor",8.9,9.9,2.5,104.8,860489
1592,4,2,1964,5131,"Kaolack",5.2,1.5,0.8,98.3,801693
1217,3,1,1997,4751,"Tambacounda",9.5,6.2,3.4,113,555863
1821,3,3,1957,4444,"Kaolack",4.5,8.9,4.7,106.6,790792
2423,3,2,1953,5357,"Tambacounda",7,2.2,5,91.5,829830
1011,3,2,2005,5669,"Touba",5.5,1.7,2.2,102.5,532396
1673,4,1,1979,4534,"St-Louis",8.5,8.1,3.4,94.9,753161
2034,1,3,2013,5086,"Tambacounda",6.1,4.5,4.9,89.5,624367
2789,2,2,1976,6442,"Touba",8.2,4.8,7.3,74.1,881440
1492,1,1,1998,6713,"Kaolack",6.5,2.4,5.9,89.4,506107
2560,3,2,1954,5499,"Kaolack",6.4,6.3,4.1,96.9,888639
1584,1,1,1966,6246,"Kaolack",8.9,5.6,6.3,111.5,688852
1284,4,2,2010,7606,"Tambacounda",1.9,3.2,2.9,56.9,497398
1233,3,2,2019,7377,"Touba",6.7,5.3,0.8,122.9,466752
1689,3,2,1968,1229,"Ziguinchor",8.5,3.8,2.1,112.2,698919
1789,4,2,1998,6011,"Ziguinchor",6.9,1.4,5.5,99,684088
1639,4,2,2003,7013,"Kaolack",6.2,1.6,2.7,118.1,703109
2326,3,3,1957,4951,"Ziguinchor",7.5,3.7,1.7,88.2,702544
1895,3,1,1983,4098,"Tambacounda",7.4,8.7,2.6,105.3,534953
1747,4,2,2015,2359,"Tambacounda",6.4,5.4,4.1,96.5,585266
1499,2,2,2009,3683,"Tambacounda",7.9,4.3,6.2,76.9,597012
1152,3,2,2003,7013,"Touba",6.2,3.5,5.9,109.2,609848
820,4,2,2016,4030,"Podor",6.5,1.3,1,103.4,541354
1907,3,3,2005,4741,"Tambacounda",7.1,4.8,2.6,88.1,668948
1813,3,2,1980,6762,"Kaolack",6.9,5.2,6.7,102.2,748726
2483,2,1,1986,3892,"Kaolack",7,8,9.7,99.6,727425
1946,5,1,2008,5321,"Thies",7.3,2.9,9.4,68.6,860135
2199,2,2,1970,2517,"Tambacounda",8.8,1.6,3,117.3,726864
1820,2,2,2020,5017,"Ziguinchor",7.2,9.8,0.3,94.4,564320
1391,3,1,2005,821,"Touba",8.5,6.1,7.3,85.4,550617
1945,4,2,2011,1493,"Thies",12.2,7.6,4.6,117,837491
1970,2,2,2000,6559,"Touba",6.5,7.5,8.5,107.8,657166
1391,3,2,1999,6744,"Thies",6.8,2.1,7.2,92.7,706446
1786,2,1,2000,8146,"Dakar",6.5,2.2,5.7,86.9,669253
2800,3,2,1999,4845,"Touba",8.5,1,3.1,101.7,814101
1235,4,2,1954,6480,"Tambacounda",4.9,1.9,6.5,77,633251
2536,2,2,1971,5123,"Podor",8.8,6.6,6.4,125.5,730759
1686,5,2,2021,4927,"Touba",8.2,5.6,3.9,93.3,587724
2541,4,3,1961,3120,"Kaolack",7.3,6.7,4.3,140.1,921058
1378,4,2,2011,4227,"Thies",6.1,7.5,6.6,119.7,668992
1767,2,2,1966,6457,"Ziguinchor",9.3,4.2,8.6,90.6,673876
1956,3,3,1958,6688,"Dakar",5.7,6.1,3.4,93.2,875128
1744,3,2,1973,3470,"Podor",8.6,7.2,1.9,77.9,621544
2129,2,2,1962,5758,"Touba",6.1,5.5,8.2,96.2,732671
1717,4,1,1967,5651,"Ziguinchor",9.3,1.8,1.5,116.2,630367
2404,2,1,2013,4061,"Podor",6,4,6.1,133.3,617034
1885,2,2,1993,5915,"Ziguinchor",6.7,5.6,7.4,67.2,642578
2146,2,2,1988,-616,"Podor",7.1,2,8.5,91.1,673958
1207,4,2,1976,6100,"Ziguinchor",8.3,2.2,7,84.3,655207
1471,4,2,1997,7135,"Ziguinchor",7.6,3.7,9.1,101,621415
2345,2,2,1959,2520,"Touba",5.7,2.3,2.5,108.6,748496
2054,4,3,1981,9776,"Tambacounda",4.7,5.7,3.7,98.4,742976
1732,5,2,1969,2764,"St-Louis",6,2.8,1.2,56.9,598181
1746,4,2,1968,2128,"Thies",8.8,8.9,1.4,120.3,756422
2177,3,2,1981,8691,"Tambacounda",3,9.7,7.9,100,643500
1688,4,2,1996,4455,"St-Louis",9.4,4.9,5.8,102.6,641869
1837,4,2,1974,4632,"St-Louis",8.5,1.7,6.4,83.1,742889
977,3,2,1970,8703,"Touba",8.9,8.1,9.1,90.2,587344
2687,1,3,1957,811,"Dakar",7.2,4,1,74.5,949180
2183,3,2,1985,3579,"Thies",8.6,4.6,5.8,133.5,901854
2216,3,2,1950,5399,"St-Louis",8.8,1.6,9.8,59.6,887785
847,4,2,2009,2337,"Dakar",6.3,3.5,2.9,80,632004
1790,4,2,1987,3836,"Podor",5.3,5.6,5.5,121.7,694528
1596,4,2,1979,1728,"Dakar",4,5.9,1.2,110.6,782844
1112,2,1,2015,4332,"St-Louis",7,4.4,5,129.7,503249
2164,3,2,1979,2354,"Touba",4.7,5.6,7.7,78.4,751393
2417,3,2,2021,5674,"Podor",7.9,6.9,5.9,94.9,791858
1523,2,1,2003,4568,"Touba",7.9,9.1,5.5,91.8,493114
1685,5,2,1952,3408,"St-Louis",10.2,2.8,8,130.2,848215
2656,3,1,1969,7909,"Kaolack",6,5.6,0.1,113.7,846545
975,3,2,1963,3324,"Ziguinchor",10.9,2.9,1.6,62.4,602685
2172,2,2,2019,4988,"Thies",8,4.1,5.9,84.8,820410
1643,3,1,2009,2344,"Touba",6.1,3.9,5.1,77.5,510686
1742,3,2,2018,7276,"Podor",8.3,6.3,8.9,132.6,622187
1495,3,2,1989,5535,"Tambacounda",9,7.1,0.9,79.5,585653
2348,3,1,1986,5187,"Touba",6.2,1.8,3.6,121.7,701718
1236,4,2,1979,3596,"Touba",7.3,6,2.3,99,547666
2281,2,2,1960,8472,"Kaolack",7.5,5.6,0.9,60.6,730622
2503,3,1,2003,4340,"Touba",6.4,1.8,2.1,80.2,753772
979,4,2,1973,6762,"St-Louis",8.7,2.4,7.9,88.6,572882
1237,4,2,2008,4680,"Dakar",7.7,1.7,2.1,120.8,767838
2096,2,1,1964,5654,"Tambacounda",6.5,6.8,0.4,83.9,638860
1322,2,3,1998,5671,"St-Louis",4.8,1.3,5.2,113.8,584715
1454,4,2,1983,6058,"Kaolack",7.1,9.2,7.8,93.1,690431
1577,3,3,1958,6096,"Tambacounda",8,7.8,9.3,57.4,777960
1628,5,1,1953,6455,"Dakar",5.8,8.4,0.7,98.1,829473
2152,2,2,2019,3918,"St-Louis",7,1.2,0.5,118.6,669843
1498,3,2,2000,1792,"Ziguinchor",5.3,3.6,9.7,74.4,579417
1845,2,1,1988,6380,"Dakar",9.6,7.9,4.3,64,753033
2169,3,2,1954,6586,"Kaolack",7.3,6.7,5.8,131,766980
1030,4,2,2022,5004,"St-Louis",6.9,4.3,9.7,99.4,508835
1455,3,2,1965,5108,"St-Louis",9.4,3.4,2.7,78.7,565498
2230,3,2,1987,5075,"Ziguinchor",7.8,6.6,6.7,101.5,822917
1612,3,3,1973,7158,"Touba",9.2,6.2,8.6,104.2,679137
532,1,2,2007,5846,"Tambacounda",7.1,1.3,9.8,64.5,454649
1371,5,2,1988,3052,"Tambacounda",9.4,1.6,2.2,98.3,695215
2208,1,2,1999,5100,"Tambacounda",7.7,9.3,8.5,75.3,676901
1587,2,2,1953,4199,"Thies",6.2,4.6,4.7,94.4,648942
1598,5,1,1974,3930,"Tambacounda",7.8,9.8,2.2,130.3,606941
1727,3,2,1956,4130,"Ziguinchor",7.6,2.1,3.1,95.2,770786
2160,1,2,2016,5585,"Thies",6.6,3.9,5.5,102.9,742748
1554,3,2,1966,6346,"Tambacounda",6.7,2.4,9.7,125.8,641397
2038,3,2,1998,2789,"Podor",5.9,9.4,2.1,120.3,597314
2087,4,2,1979,3607,"Thies",7.4,1.8,1.1,105.7,815831
1291,2,2,1962,5951,"Ziguinchor",7.6,5.2,1.5,133.3,570220
1769,2,2,1981,6151,"Tambacounda",5.1,6,5.6,97.6,625316
1531,3,2,1965,5385,"Thies",6.6,2.4,7.9,92.6,777646
2008,5,3,1988,2412,"Tambacounda",8.5,7.4,3.6,82.2,829800
1046,3,2,1956,4564,"Ziguinchor",8.4,4.7,8.8,57.7,517968
2570,2,3,1955,5195,"Kaolack",6.8,7.6,3.5,87.4,862033
2473,3,3,1958,1665,"Tambacounda",7.8,9.1,0.9,85.1,738295
1379,5,3,1987,3325,"Dakar",7.1,5.2,6,115.6,823632
1465,2,2,1991,5501,"Thies",8.3,4.4,0.1,88.5,605681
1346,1,2,1954,5390,"Kaolack",9,9.5,3.1,93.7,632603
1732,3,1,1960,4300,"Kaolack",5.9,9,0.1,109.4,601373
1549,2,2,1967,2667,"Touba",9.9,7.7,4.7,102.6,589917
1856,2,2,2007,4646,"Touba",4.3,1.2,4.2,127.7,593809
862,2,2,1982,3671,"Dakar",10.9,7,0.2,115,642072
1879,4,2,1978,2909,"Podor",6.1,6.6,5,101.3,659481
1808,2,2,1983,2382,"Dakar",9.8,2.5,1.6,87.9,831050
1000,1,2,2001,2364,"Podor",8.1,9.7,5.9,99.1,506512
1938,1,2,1984,10457,"Dakar",5.1,7.5,4,92.8,711606
1827,3,1,1967,2830,"Podor",6.5,7.4,5.4,99.5,611354
1685,2,2,2010,1530,"Thies",7.9,6.9,6.8,89.2,717998
1793,1,1,1952,6457,"Ziguinchor",7.3,7,3.9,111.6,653442
1992,3,2,1961,4256,"Ziguinchor",10.4,8.5,8.3,78.6,727700
1973,1,3,1996,5616,"Podor",5.4,8.5,8.2,71.7,667009
1584,3,2,1990,5295,"Dakar",3.7,9.8,3.7,57.9,692295
2375,2,2,1988,7425,"Dakar",6.8,5.9,3.8,93.6,906317
1782,2,1,1983,7926,"St-Louis",9.4,9.9,1.8,116.8,556278
1732,3,1,2012,6321,"Tambacounda",5.5,1.4,4.9,114.8,629244
2272,4,2,2010,5020,"St-Louis",8,2.7,7.8,106.8,743063
2296,4,1,1973,4190,"Tambacounda",5.3,4.5,5.1,66.6,750204
1450,2,3,2022,2704,"Tambacounda",8.1,3.4,1,80.4,533312
1304,3,2,1962,5995,"Touba",6.8,8.8,7.4,58.7,541856
1447,2,2,2010,4078,"Tambacounda",4.9,8.7,3.6,106.5,539900
1212,1,2,1958,6009,"Dakar",7,7.8,8.2,57.3,679891
909,3,1,1979,4331,"Thies",5.3,4.2,6,112.7,532507
1955,1,2,2008,3926,"St-Louis",8.1,2.2,2.4,99.6,599869
1727,2,3,2000,5096,"Thies",7.2,9.8,2.7,88.4,638594
2121,2,2,1963,4914,"St-Louis",6.7,3.8,4.7,114.9,701188
1799,3,2,1961,1845,"St-Louis",7,6.8,1.4,123.4,584120
2005,2,2,1977,5368,"Kaolack",8.2,7.2,6.5,78.2,634799
1552,2,2,1958,5317,"Thies",8,7.2,8.8,105.2,797388
1320,3,2,1981,4124,"Ziguinchor",5.1,1.5,4.2,116.4,554680
2189,2,2,2007,5756,"Touba",7.6,2.3,3.2,101.8,698043
2181,3,1,1958,3786,"Touba",5.8,1.8,4.5,109.9,584917
933,1,2,1983,2839,"Dakar",6.2,7.5,5.2,60.6,591125
2239,3,2,1950,5653,"Podor",9.9,4.5,4.1,113.8,701752
913,4,1,1991,1416,"Podor",6,8.5,1.4,107.2,413577
1777,5,2,1975,6421,"Kaolack",8,5.4,3.6,129.6,697194
1603,1,2,1969,7469,"Podor",8.8,5.8,2.2,96.1,575813
1736,3,2,1993,453,"Dakar",8.1,6.6,2.8,82.5,742435
2348,3,2,1985,6835,"St-Louis",8.3,5.8,6.9,72.9,732108
1172,3,2,1972,7071,"Ziguinchor",6,6.1,1.4,113.6,489147
1667,2,1,1955,3323,"Tambacounda",8,5.1,1.4,92.2,585621
3077,2,2,1997,3573,"Tambacounda",6,1.2,1.1,113.9,818151
1061,2,1,1955,1144,"Ziguinchor",1.5,1.8,1,105.8,481633
1487,2,2,1987,6478,"Podor",9.7,7.9,2,113.9,543809
1779,3,2,1981,7179,"Touba",9.4,1.5,4.2,71,619863
1900,2,2,1999,6084,"Thies",5.1,5.6,1.9,107.2,709203
1533,3,1,1958,6726,"Dakar",8.8,5.1,5,95.6,726390
1667,2,3,1954,4576,"Touba",5.8,6.6,5.3,114.6,698291
2342,3,2,2014,4829,"Tambacounda",5.1,4.7,0.3,91.6,712265
1710,4,2,1978,3337,"Tambacounda",4.9,1.8,6.3,96.4,778660
1926,2,2,1981,6910,"Kaolack",5.4,2.2,5.1,56.6,601876
1985,3,1,1999,2096,"Podor",9.3,9.8,5.1,75.7,717067
2004,5,1,1993,4756,"Thies",5.7,5.8,6.2,124.4,728360
2046,1,2,1990,5434,"Touba",3.8,4,9.5,75.7,615469
1827,3,3,1960,2012,"Podor",9.1,1,6.9,91.1,650064
1446,4,2,2015,2662,"Kaolack",9.4,7.9,4.9,114.5,707031
1771,1,2,1954,2473,"Ziguinchor",6.5,4.2,0.5,83.2,580799
1318,5,3,2004,5903,"Thies",6.9,4,8.1,112.9,833558
1847,2,2,2008,8229,"Podor",4.8,7.3,9.4,95.3,610758
1626,3,2,2003,5176,"Tambacounda",7.3,1.9,9.8,75.8,670073
1741,1,2,1961,6074,"St-Louis",7.7,6.9,5,87.9,662726
1250,3,2,2007,2816,"Tambacounda",6.6,1.7,8,93.6,525374
1658,2,2,2002,5509,"Touba",8.8,6.1,8.6,106.6,592356
1255,2,2,1991,8002,"Tambacounda",11.4,6,2.8,93.2,546573
1597,3,2,1997,6537,"Touba",10,1.3,5.5,115.5,613134
2063,4,2,1972,5940,"Ziguinchor",6.7,8.3,7.1,90,661796
1920,5,1,1974,3667,"Dakar",8.5,3.1,7.4,115.5,931024
2249,1,2,2009,4173,"Ziguinchor",5.3,1.9,3.6,120.5,583656
2044,4,2,2006,1314,"Thies",6.4,4.9,5.6,129.8,769344
1856,5,2,1994,5617,"Ziguinchor",6.7,5.1,7.2,118.1,689674
2299,3,2,1995,6112,"St-Louis",7,1.5,0.4,90,694759
2396,3,2,2019,3945,"Touba",5.7,2.2,1.1,105.7,652093
1100,2,1,2021,7575,"Podor",8,5.7,2.9,75.3,438460
2246,3,2,1994,2272,"Podor",8.1,8.4,5.1,94.7,734314
2189,2,3,1982,3007,"Kaolack",6.9,5.8,1,115.7,724612
2271,1,2,1958,7051,"Tambacounda",6.1,7.1,5.8,125.4,700395
1346,2,3,1991,4892,"Dakar",6.6,7.7,6.3,77.9,836858
3004,3,2,2002,4977,"Dakar",8.5,4,5.2,103.4,1030276
503,2,3,1974,5574,"Podor",7.1,6.7,4,74.2,487622
1803,3,2,1951,8498,"Ziguinchor",7.4,9.7,5.3,97.4,667423
1859,3,2,1958,6489,"Thies",3.7,3.8,6.3,82.7,693065
1725,3,2,1971,581,"Ziguinchor",8.1,1.5,4.2,107.8,711304
2174,5,2,1991,2530,"St-Louis",5.4,1.3,8.2,81.2,731761
1862,3,1,1999,5642,"Dakar",6.5,5.7,8.3,107.3,827655
1411,2,2,1956,2350,"Tambacounda",8.3,7.3,8.3,114.8,557627
2505,3,3,1983,5163,"Podor",7.9,9.4,7.8,121.1,723847
1653,4,2,1991,9241,"Touba",8.3,5.9,5,103.4,624059
2105,3,2,2021,5063,"Ziguinchor",6.6,7.8,7.3,120,655135
1467,1,3,1998,5856,"Kaolack",7.7,3.9,6.3,103.8,650957
1270,4,2,1990,4938,"Touba",5.8,3.4,7.6,57.9,606321
1497,3,2,1966,3128,"Thies",5.4,7.7,8.8,116.7,857887
1272,3,2,1997,6703,"Thies",6.7,4.1,8.5,142.9,746961
2067,3,3,1963,3026,"Dakar",8.7,6,1.6,128.7,938435
1024,2,2,1973,4539,"Podor",7.6,6.7,5.8,83.7,529802
1311,3,2,2021,4229,"Dakar",7.1,7.4,0.3,105.2,627183
1814,1,2,1965,5136,"Podor",4.9,9.3,5.6,94.6,647755
942,3,3,1987,2677,"Touba",8.9,2.8,6.4,73.7,581173
1548,3,2,2007,6400,"Dakar",5.2,9.7,2.9,127.8,602358
1648,2,2,2014,5836,"Ziguinchor",5.5,6.1,0.7,69.6,490521
2473,2,2,1998,4298,"Thies",6.5,6.9,9.4,67.2,772624
1671,2,2,1973,3776,"Podor",5.4,7.3,6.7,84.7,652756
1538,3,1,1987,4937,"Kaolack",8.7,5.1,9.8,135.5,657255
1468,5,1,2020,5943,"Podor",5.5,7.8,5,94.5,606177
2024,3,2,1974,1343,"Ziguinchor",6.8,3.3,8.7,56.3,589657
1640,3,3,1968,3932,"Dakar",10.3,6.4,1.7,75.6,796910
1528,2,2,2001,8123,"St-Louis",5.9,9.5,5.5,76.2,561136
1660,4,3,1986,4045,"Dakar",7.2,8.9,3.7,111.9,787151
2333,4,2,2008,5246,"St-Louis",8.3,4,5.1,110,721844
2584,2,3,1973,5227,"St-Louis",6.5,9.4,8.8,109.3,731025
1478,2,3,1986,9007,"Thies",5.9,5.2,7.1,102.6,699372
1810,3,2,1976,2392,"Kaolack",6.7,3.1,6.9,96,725905
1638,3,2,1984,5387,"Tambacounda",7.5,3.3,5.7,85.3,469110
2729,4,2,1966,6603,"Tambacounda",5.7,5.8,1,82.4,828481
2095,4,2,1995,3408,"Touba",6.1,1.5,6.1,124.4,739469
910,3,2,1982,6477,"Touba",8.5,7.5,7.3,106.6,619025
1583,3,2,1979,4516,"St-Louis",5.2,8.7,7.9,107.3,557977
654,2,2,1990,764,"St-Louis",5.8,5.3,0.7,75,396460
1754,4,2,1961,5359,"Dakar",7.8,5.2,8.4,46.8,901309
2152,3,2,1961,6049,"Touba",4,2.4,7.2,87.2,685779
1353,3,3,2015,4039,"Podor",8.1,3.1,8,104,591373
1159,3,2,1971,2008,"Dakar",6.5,7.2,6.8,114.4,755771
2428,3,3,1999,6717,"Tambacounda",6.2,4.9,1.4,115.1,792543
1318,2,1,1953,5686,"Touba",4.7,7.8,3,132.9,516421
2254,2,2,2002,5290,"Touba",6.4,2.5,7.5,98.8,680238
1907,2,1,2012,5783,"Kaolack",10.1,9.6,8.5,83.6,628718
2241,3,2,1968,7070,"Kaolack",8.5,9.3,0.2,82.4,798283
2301,3,2,1979,2555,"St-Louis",5.4,2.6,4.9,116.5,683762
2370,3,2,1985,7158,"Tambacounda",6.5,10,4.7,115.1,667894
2418,3,2,1988,3646,"Touba",6.6,5.6,5.7,123.3,645477
1948,3,3,1980,7436,"Touba",7.1,1.6,0.1,83.3,717673
1886,2,2,1952,4442,"Kaolack",5.8,8.7,7.2,93.5,744430
1322,3,3,1965,1856,"Ziguinchor",7,5.7,7.3,121.6,721813
1195,5,2,2018,6821,"Podor",6.9,3.6,2.3,56.4,544403
1499,2,2,1967,2615,"St-Louis",2.8,8.7,5.6,88.2,549681
1732,3,2,1968,2731,"Podor",8.9,2.5,3.9,71.5,702064
1306,2,1,1953,3989,"Podor",7.4,6.5,8.9,106.7,614079
2216,3,2,2021,4765,"Touba",4.2,1.8,6.2,95.9,757545
1402,4,2,1985,3094,"Dakar",7.3,4.7,0.1,104.5,776631
1970,3,2,2017,7367,"Ziguinchor",8.8,8.7,4.8,117.7,614258
2235,5,2,1971,4219,"Tambacounda",8.1,7,5.5,45.4,806280
1209,2,2,1970,8011,"Tambacounda",7.3,6.9,6.1,104.4,520072
2311,2,2,1954,5699,"Dakar",6.7,9.9,6.9,86.5,857122
746,4,2,1951,5464,"Touba",5.9,4.3,4.8,82.8,563920
1915,5,1,1995,7622,"Podor",6.1,4.5,1.3,74.5,725584
2556,3,2,1962,3252,"St-Louis",8.4,3.7,2.9,101.8,804499
2078,3,2,1953,6370,"St-Louis",8.3,6.2,5.2,92.4,643485
2257,3,2,1973,5210,"Thies",5.4,3.2,0.2,133.2,781148
1523,3,1,1974,1957,"Kaolack",8,4.1,1.6,87.7,652223
1949,2,2,1987,5242,"Thies",4.8,7.1,5.9,118.2,683128
2353,3,1,1955,4426,"Kaolack",8,2.5,8.2,103.5,875372
1135,2,2,2020,7089,"Touba",7.6,7,7.7,90.9,569763
2301,3,2,1994,6147,"Touba",8.5,6.4,8.8,110.6,861110
1095,2,2,2013,952,"Tambacounda",6.5,3.3,4.1,124,520163
1551,2,2,2008,2877,"Ziguinchor",9.9,6,6.5,128.5,673367
3111,3,1,1975,4182,"Touba",6,9.9,9.6,78.6,853092
2055,1,1,1996,7197,"Kaolack",7,6.1,6.6,116.5,600251
1755,2,2,1986,7552,"St-Louis",7.4,4.9,3.1,113.8,601868
2289,3,2,2020,6281,"Touba",7.9,4.9,5.7,89.8,710106
1678,3,2,2007,2407,"Tambacounda",6.4,8.1,6.5,109.4,639003
2111,1,3,1952,4461,"Kaolack",5.4,1.5,4.3,91.9,742199
1628,4,2,1958,2879,"Tambacounda",6.9,6.5,6,91.4,665250
622,2,2,1980,5767,"Ziguinchor",7.8,7.7,2.2,128.4,501420
2036,4,2,2012,6682,"Podor",8.3,6.2,4.2,108.9,715921
1544,4,2,2013,8733,"Podor",6.4,6.7,7.2,115.2,588489
1513,2,3,2005,4657,"Touba",7.1,9,6.6,132.2,600328
1802,1,2,2001,5910,"Dakar",7.5,9.8,2.4,79.2,687944
2471,4,3,1991,2704,"Kaolack",9.3,3.1,3,85.6,848562
1948,3,1,1972,4705,"Podor",5.5,2.6,2,118.8,606015
2221,2,1,1967,3241,"Tambacounda",9,9.1,6,95.6,671024
2115,4,2,1988,2166,"Touba",5.8,9.8,6.2,106.3,672005
1851,2,2,2013,5588,"Podor",6.7,4.5,6.7,121.1,619600
2136,3,2,2014,7720,"Tambacounda",6.9,9.2,1.9,98.7,628170
1731,1,1,2020,5806,"Touba",7.3,4.1,0.1,109.9,537111
1175,3,2,1972,3834,"St-Louis",8.4,2.1,4.2,84.9,575358
1974,3,3,2018,8165,"Dakar",7.1,5.7,6.8,118.2,858621
661,3,3,1965,4638,"Ziguinchor",6.6,4.3,10,96,511997
1307,2,2,1956,3681,"St-Louis",5.4,3.7,3.5,99.3,583819
1770,3,2,1992,3358,"Thies",10.1,6.3,6.5,130.6,791978
1720,3,1,1982,1286,"Thies",7.3,6.9,3.5,86.3,665440
1590,3,2,2018,7906,"Thies",6.2,4.1,0.1,120.5,642846
2294,1,2,1957,6273,"Touba",4.9,5.7,4.6,107.8,657391
1265,3,2,1950,2871,"Ziguinchor",5.2,1,1.3,79.4,499003
493,3,3,1977,4075,"Ziguinchor",9.2,4.6,6.2,111.6,540856
2190,2,3,2007,5897,"St-Louis",5.9,9.3,0.8,104.7,637506
1823,2,2,2018,5960,"Touba",8.5,4.4,6,126.6,682356
1746,2,1,2004,1617,"Dakar",7.9,7.6,7,115.4,717211
1604,2,2,1973,5956,"Thies",8.4,7.6,0.6,103,713503
957,4,2,1958,5522,"Tambacounda",7.4,5,6.9,119,580318
1324,2,2,1998,-1403,"Thies",6.9,1.6,7.9,104.9,671956
2054,3,1,2020,3567,"St-Louis",5.5,6.7,1.2,118.3,575189
1809,3,1,2017,7084,"St-Louis",7.9,6.8,3.4,83.1,491518
1091,4,2,1983,1566,"Touba",7.5,1.2,6.5,86.2,619028
2099,4,1,1972,2794,"Thies",6.5,9.3,5.6,127.9,756320
2193,2,2,1972,4122,"St-Louis",3.9,5.8,0.8,100.3,596002
1733,3,2,1997,7701,"Kaolack",4.4,2.2,8.6,120.7,631816
1792,3,2,1999,2685,"Touba",4.2,9.5,4.4,69.5,542420
2505,2,2,2015,6688,"Touba",10.1,9.9,8.4,115.9,680745
1997,3,2,2021,2082,"Touba",8.7,7.5,8.7,101.3,660898
2410,2,2,2006,4111,"Podor",7.3,1.9,5.2,113.1,634090
1777,3,3,2009,1680,"Touba",5.9,2.1,8.2,85.3,670398
2540,5,2,1963,4478,"Thies",5.2,1.5,2.2,82.9,979449
1762,2,3,1960,4006,"St-Louis",7.5,2.5,2.2,60.6,628559
2259,3,2,1970,6229,"Kaolack",6,4.2,2.2,87.5,766457
1628,3,2,1953,6080,"Tambacounda",5.2,4.1,9.9,107.6,677948
1261,2,2,2013,5519,"Dakar",7.6,7.9,0.2,33,660736
2301,3,3,1988,6121,"Ziguinchor",5.3,2.3,4,110.7,766141
2948,2,2,1960,8111,"Kaolack",5.9,7.1,2.5,93.5,820330
1637,5,2,1997,4868,"St-Louis",9.7,6.5,6.5,111.1,599956
2534,5,2,1967,5611,"Podor",8.8,7.3,2.2,123.7,872396
1682,3,3,1961,5787,"Thies",7.5,9.5,5.1,106.7,779551
